id,pair_id,text,transcript,filename,tts_distance
54,27,hes a wolf in sheeps clothing,as a wall fin sheets clothing,generated_audio/tts2024-02-25--12-05-37/hes a wolf in sheeps clothing.wav,6
55,28,premadonna,create medine,generated_audio/tts2024-02-25--12-05-37/premadonna.wav,9
56,28,prima donna,preme deallning vish,generated_audio/tts2024-02-25--12-05-37/prima donna.wav,13
57,29,social leper,social leper,generated_audio/tts2024-02-25--12-05-37/social leper.wav,0
58,29,social pariah,social perire,generated_audio/tts2024-02-25--12-05-37/social pariah.wav,3
59,30,give free rein,youre freerange,generated_audio/tts2024-02-25--12-05-37/give free rein.wav,9
60,30,give free reign,if we ring,generated_audio/tts2024-02-25--12-05-37/give free reign.wav,9
61,31,make ends meat,make ends meet,generated_audio/tts2024-02-25--12-05-37/make ends meat.wav,1
62,31,make ends meet,make ends meet,generated_audio/tts2024-02-25--12-05-37/make ends meet.wav,0
63,32,right from the gecko,right from the gekham,generated_audio/tts2024-02-25--12-05-37/right from the gecko.wav,4
64,32,right from the getgo,right from the get call,generated_audio/tts2024-02-25--12-05-37/right from the getgo.wav,5
65,33,stock home syndrome,stockholm syndrome,generated_audio/tts2024-02-25--12-05-37/stock home syndrome.wav,3
66,33,stockholm syndrome,stockholm syndrome roan,generated_audio/tts2024-02-25--12-05-37/stockholm syndrome.wav,5
67,34,chester drawers,chester drawers,generated_audio/tts2024-02-25--12-05-37/chester drawers.wav,0
68,34,chest of drawers,chest of drawers,generated_audio/tts2024-02-25--12-05-37/chest of drawers.wav,0
69,35,beckon call,back and call,generated_audio/tts2024-02-25--12-05-37/beckon call.wav,4
70,35,beck and call,back and call,generated_audio/tts2024-02-25--12-05-37/beck and call.wav,1
71,36,fullproof,full proof,generated_audio/tts2024-02-25--12-05-37/fullproof.wav,1
72,36,foolproof,full proof,generated_audio/tts2024-02-25--12-05-37/foolproof.wav,3
73,37,two peas in a pot,two peas in a pot,generated_audio/tts2024-02-25--12-05-37/two peas in a pot.wav,0
74,37,two peas in a pod,two peas in a pot,generated_audio/tts2024-02-25--12-05-37/two peas in a pod.wav,1
75,38,on the spurt of the moment,on the spur of the moment,generated_audio/tts2024-02-25--12-05-37/on the spurt of the moment.wav,1
76,38,on the spur of the moment,on the spur of the moment,generated_audio/tts2024-02-25--12-05-37/on the spur of the moment.wav,0
77,39,mindbottling,mind battling,generated_audio/tts2024-02-25--12-05-37/mindbottling.wav,2
78,39,mindboggling,mind bubbling,generated_audio/tts2024-02-25--12-05-37/mindboggling.wav,4
79,40,i plead the fifth commandment,i plead the fifth commandment,generated_audio/tts2024-02-25--12-05-37/i plead the fifth commandment.wav,0
80,40,i plead the fifth amendment,i plead the fifth amendment,generated_audio/tts2024-02-25--12-05-37/i plead the fifth amendment.wav,0
