id,pair_id,text,transcript,filename,tts_distance
29,15,on tender hooks,on tender hurts,generated_audio/tts2024-02-26--11-43-32/on tender hooks.wav,3
30,15,on tenterhooks,im tenture helks,generated_audio/tts2024-02-26--11-43-32/on tenterhooks.wav,7
31,16,tongue and cheek,tan cheat,generated_audio/tts2024-02-26--11-43-32/tongue and cheek.wav,9
32,16,tongue in cheek,sing and cheat,generated_audio/tts2024-02-26--11-43-32/tongue in cheek.wav,8
33,17,card shark,kpart shuk,generated_audio/tts2024-02-26--11-43-32/card shark.wav,5
34,17,card sharp,blue card shark,generated_audio/tts2024-02-26--11-43-32/card sharp.wav,6
35,18,damp squid,steps quick,generated_audio/tts2024-02-26--11-43-32/damp squid.wav,7
36,18,damp squib,damn squip,generated_audio/tts2024-02-26--11-43-32/damp squib.wav,2
37,19,curl up in the feeble position,cut up in the feeble position,generated_audio/tts2024-02-26--11-43-32/curl up in the feeble position.wav,2
38,19,curl up in the fetal position,curl of the feville position,generated_audio/tts2024-02-26--11-43-32/curl up in the fetal position.wav,9
39,20,a hard road to hoe,a hard road to forward,generated_audio/tts2024-02-26--11-43-32/a hard road to hoe.wav,6
40,20,a hard row to hoe,a hard road to hold,generated_audio/tts2024-02-26--11-43-32/a hard row to hoe.wav,4
41,21,expatriot,xpatriot,generated_audio/tts2024-02-26--11-43-32/expatriot.wav,1
42,21,expatriate,xb spect parler,generated_audio/tts2024-02-26--11-43-32/expatriate.wav,11
43,22,biting my time,fighting my timer,generated_audio/tts2024-02-26--11-43-32/biting my time.wav,4
44,22,biding my time,fighting my time,generated_audio/tts2024-02-26--11-43-32/biding my time.wav,4
45,23,antidotal evidence,and to tell evidence,generated_audio/tts2024-02-26--11-43-32/antidotal evidence.wav,6
46,23,anecdotal evidence,and a total evidence,generated_audio/tts2024-02-26--11-43-32/anecdotal evidence.wav,5
47,24,circussized,circus sized,generated_audio/tts2024-02-26--11-43-32/circussized.wav,1
48,24,circumcised,circumcised,generated_audio/tts2024-02-26--11-43-32/circumcised.wav,0
49,25,hunger pains,overpaying dont worry dont stop that dont stop stop watering dont stop it dont responses dont laugh dont чист my bed dont say addresses dont leave me any gift for god ask me if you like this exercise or if you like the exercise or do you love my life dont i,generated_audio/tts2024-02-26--11-43-32/hunger pains.wav,248
50,25,hunger pangs,other pains,generated_audio/tts2024-02-26--11-43-32/hunger pangs.wav,6
51,26,flush out the details,plus tap the details,generated_audio/tts2024-02-26--11-43-32/flush out the details.wav,5
52,26,flesh out the details,plus set the details,generated_audio/tts2024-02-26--11-43-32/flesh out the details.wav,5
53,27,hes a wolf in cheap clothing,has a wolf and sheep clothing,generated_audio/tts2024-02-26--11-43-32/hes a wolf in cheap clothing.wav,5
54,27,hes a wolf in sheeps clothing,as a wolf and sheeps clothing,generated_audio/tts2024-02-26--11-43-32/hes a wolf in sheeps clothing.wav,4
55,28,premadonna,premedanity,generated_audio/tts2024-02-26--11-43-32/premadonna.wav,5
56,28,prima donna,premedaner,generated_audio/tts2024-02-26--11-43-32/prima donna.wav,6
57,29,social leper,social lepper,generated_audio/tts2024-02-26--11-43-32/social leper.wav,1
58,29,social pariah,virtual parietal,generated_audio/tts2024-02-26--11-43-32/social pariah.wav,8
59,30,give free rein,you free ring,generated_audio/tts2024-02-26--11-43-32/give free rein.wav,6
60,30,give free reign,if we ring,generated_audio/tts2024-02-26--11-43-32/give free reign.wav,9
61,31,make ends meat,make ends meet,generated_audio/tts2024-02-26--11-43-32/make ends meat.wav,1
62,31,make ends meet,big and neat,generated_audio/tts2024-02-26--11-43-32/make ends meet.wav,8
63,32,right from the gecko,right from the gecker,generated_audio/tts2024-02-26--11-43-32/right from the gecko.wav,2
64,32,right from the getgo,right from the get good,generated_audio/tts2024-02-26--11-43-32/right from the getgo.wav,3
65,33,stock home syndrome,stop home syndrome,generated_audio/tts2024-02-26--11-43-32/stock home syndrome.wav,2
66,33,stockholm syndrome,stockholm syndrome,generated_audio/tts2024-02-26--11-43-32/stockholm syndrome.wav,0
67,34,chester drawers,chester drollers,generated_audio/tts2024-02-26--11-43-32/chester drawers.wav,3
68,34,chest of drawers,chest of droist rose,generated_audio/tts2024-02-26--11-43-32/chest of drawers.wav,7
69,35,beckon call,back in call,generated_audio/tts2024-02-26--11-43-32/beckon call.wav,3
70,35,beck and call,back and call,generated_audio/tts2024-02-26--11-43-32/beck and call.wav,1
71,36,fullproof,full prison,generated_audio/tts2024-02-26--11-43-32/fullproof.wav,4
72,36,foolproof,abrazo,generated_audio/tts2024-02-26--11-43-32/foolproof.wav,8
73,37,two peas in a pot,two peas and a pot,generated_audio/tts2024-02-26--11-43-32/two peas in a pot.wav,2
74,37,two peas in a pod,two peas and a pot,generated_audio/tts2024-02-26--11-43-32/two peas in a pod.wav,3
75,38,on the spurt of the moment,on the spur of the moment,generated_audio/tts2024-02-26--11-43-32/on the spurt of the moment.wav,1
76,38,on the spur of the moment,on the spur of the moment,generated_audio/tts2024-02-26--11-43-32/on the spur of the moment.wav,0
77,39,mindbottling,mind bottling,generated_audio/tts2024-02-26--11-43-32/mindbottling.wav,1
78,39,mindboggling,mind bobling,generated_audio/tts2024-02-26--11-43-32/mindboggling.wav,3
79,40,i plead the fifth commandment,i plead the fifth amendment,generated_audio/tts2024-02-26--11-43-32/i plead the fifth commandment.wav,4
80,40,i plead the fifth amendment,i plead the fifth amendment,generated_audio/tts2024-02-26--11-43-32/i plead the fifth amendment.wav,0
