id,pair_id,text,transcript,filename,tts_distance
46,23,anecdotal evidence,and a total evidence,generated_audio/tts2024-02-25--20-17-34/anecdotal evidence.wav,5
47,24,circussized,circus sized,generated_audio/tts2024-02-25--20-17-34/circussized.wav,1
48,24,circumcised,circumcised,generated_audio/tts2024-02-25--20-17-34/circumcised.wav,0
49,25,hunger pains,halo painters,generated_audio/tts2024-02-25--20-17-34/hunger pains.wav,8
50,25,hunger pangs,hunger pains,generated_audio/tts2024-02-25--20-17-34/hunger pangs.wav,2
51,26,flush out the details,place up the details as well,generated_audio/tts2024-02-25--20-17-34/flush out the details.wav,14
52,26,flesh out the details,close up the details,generated_audio/tts2024-02-25--20-17-34/flesh out the details.wav,5
53,27,hes a wolf in cheap clothing,as a wolf and cheap clothing,generated_audio/tts2024-02-25--20-17-34/hes a wolf in cheap clothing.wav,4
54,27,hes a wolf in sheeps clothing,as a wolf and sheeps clothing,generated_audio/tts2024-02-25--20-17-34/hes a wolf in sheeps clothing.wav,4
55,28,premadonna,premedin on it,generated_audio/tts2024-02-25--20-17-34/premadonna.wav,7
56,28,prima donna,prebid dining,generated_audio/tts2024-02-25--20-17-34/prima donna.wav,7
57,29,social leper,social lepper,generated_audio/tts2024-02-25--20-17-34/social leper.wav,1
58,29,social pariah,social periyor,generated_audio/tts2024-02-25--20-17-34/social pariah.wav,4
59,30,give free rein,you free ring,generated_audio/tts2024-02-25--20-17-34/give free rein.wav,6
60,30,give free reign,efree ring,generated_audio/tts2024-02-25--20-17-34/give free reign.wav,7
61,31,make ends meat,make ends meet,generated_audio/tts2024-02-25--20-17-34/make ends meat.wav,1
62,31,make ends meet,make ends meet,generated_audio/tts2024-02-25--20-17-34/make ends meet.wav,0
63,32,right from the gecko,right from the gacker,generated_audio/tts2024-02-25--20-17-34/right from the gecko.wav,3
64,32,right from the getgo,right from the get go,generated_audio/tts2024-02-25--20-17-34/right from the getgo.wav,1
65,33,stock home syndrome,stockholm syndrome,generated_audio/tts2024-02-25--20-17-34/stock home syndrome.wav,3
66,33,stockholm syndrome,stockholm syndrome,generated_audio/tts2024-02-25--20-17-34/stockholm syndrome.wav,0
67,34,chester drawers,chester drollars,generated_audio/tts2024-02-25--20-17-34/chester drawers.wav,4
68,34,chest of drawers,test of drawers,generated_audio/tts2024-02-25--20-17-34/chest of drawers.wav,2
69,35,beckon call,back and call,generated_audio/tts2024-02-25--20-17-34/beckon call.wav,4
70,35,beck and call,back and,generated_audio/tts2024-02-25--20-17-34/beck and call.wav,6
71,36,fullproof,full proof,generated_audio/tts2024-02-25--20-17-34/fullproof.wav,1
72,36,foolproof,foolproof,generated_audio/tts2024-02-25--20-17-34/foolproof.wav,0
73,37,two peas in a pot,two peas in a pot,generated_audio/tts2024-02-25--20-17-34/two peas in a pot.wav,0
74,37,two peas in a pod,two peas in a pot,generated_audio/tts2024-02-25--20-17-34/two peas in a pod.wav,1
75,38,on the spurt of the moment,on the spur of the moment,generated_audio/tts2024-02-25--20-17-34/on the spurt of the moment.wav,1
76,38,on the spur of the moment,on the spur of the moment,generated_audio/tts2024-02-25--20-17-34/on the spur of the moment.wav,0
77,39,mindbottling,one bottling,generated_audio/tts2024-02-25--20-17-34/mindbottling.wav,4
78,39,mindboggling,man bubbling ling,generated_audio/tts2024-02-25--20-17-34/mindboggling.wav,9
79,40,i plead the fifth commandment,i plead the fifth commandment,generated_audio/tts2024-02-25--20-17-34/i plead the fifth commandment.wav,0
80,40,i plead the fifth amendment,i plead the fifth amendment,generated_audio/tts2024-02-25--20-17-34/i plead the fifth amendment.wav,0
